,timestep,depth,Salinity,Theta
454,454,-68.79424,36.20388,24.547228
455,455,-68.94467,36.20399,24.54456
456,456,-69.0951,36.2041,24.54189
457,457,-69.24553,36.204212,24.53922
458,458,-69.39596,36.204323,24.536552
459,459,-69.54638,36.204433,24.533884
460,460,-69.69681,36.204544,24.531214
461,461,-69.84724,36.204655,24.528545
462,462,-69.997665,36.204765,24.525877
463,463,-70.148094,36.204876,24.523209
464,464,-70.29852,36.204987,24.520538
465,465,-70.44895,36.205097,24.51787
466,466,-70.59938,36.205208,24.515202
467,467,-70.7498,36.20532,24.512533
468,468,-70.90023,36.20543,24.509863
469,469,-71.05066,36.20554,24.507195
470,470,-71.20109,36.20565,24.504526
471,471,-71.35152,36.20576,24.501856
472,472,-71.501945,36.20587,24.499187
473,473,-71.652374,36.205982,24.49652
474,474,-71.8028,36.206093,24.49385
475,475,-71.953224,36.206203,24.49118
476,476,-72.10365,36.206314,24.488512
477,477,-72.25408,36.206425,24.485844
478,478,-72.40451,36.206535,24.483175
479,479,-72.55494,36.206646,24.480505
480,480,-72.70537,36.206757,24.477837
481,481,-72.8558,36.206867,24.475168
482,482,-73.006226,36.20698,24.4725
483,483,-73.156654,36.207092,24.46983
484,484,-73.307076,36.207203,24.467161
485,485,-73.457504,36.207314,24.464493
486,486,-73.60793,36.207424,24.461824
487,487,-73.75836,36.207535,24.459154
488,488,-73.90879,36.207645,24.456486
489,489,-74.05922,36.207756,24.453817
490,490,-74.20965,36.207867,24.451149
491,491,-74.36008,36.207977,24.448479
492,492,-74.5105,36.208088,24.44581
493,493,-74.66093,36.2082,24.443142
494,494,-74.811356,36.20831,24.440474
495,495,-74.961784,36.20842,24.437803
496,496,-75.11221,36.20853,24.435135
497,497,-75.26264,36.20864,24.432467
498,498,-75.41307,36.20875,24.429798
499,499,-75.5635,36.208862,24.427128
500,500,-75.71392,36.208973,24.42446
501,501,-75.86435,36.209084,24.421791
502,502,-76.01478,36.209194,24.419123
503,503,-76.16521,36.209305,24.416452
504,504,-76.315636,36.209415,24.413784
505,505,-76.466064,36.209526,24.411116
506,506,-76.61649,36.209637,24.408447
507,507,-76.76692,36.209747,24.405777
508,508,-76.91734,36.209858,24.403109
509,509,-77.06777,36.20997,24.40044
510,510,-77.2182,36.21008,24.397772
511,511,-77.36863,36.21019,24.395102
512,512,-77.51906,36.2103,24.392433
513,513,-77.66949,36.21041,24.389765
514,514,-77.819916,36.21052,24.387096
515,515,-77.970345,36.21064,24.384483
516,516,-78.12077,36.21099,24.383404
517,517,-78.271194,36.211338,24.382326
518,518,-78.42162,36.21169,24.381247
519,519,-78.57205,36.212036,24.380169
520,520,-78.72248,36.212387,24.37909
521,521,-78.87291,36.212734,24.378012
522,522,-79.02334,36.213085,24.376932
523,523,-79.17377,36.213432,24.375854
524,524,-79.324196,36.21378,24.374775
525,525,-79.47462,36.21413,24.373697
526,526,-79.625046,36.214478,24.372618
527,527,-79.775475,36.21483,24.37154
