timestep,depth,Salinity
712,-81.28872,36.218338
713,-81.40219,36.2186
714,-81.515656,36.218864
715,-81.62913,36.219128
716,-81.74259,36.21939
717,-81.85606,36.219654
718,-81.96953,36.219917
719,-82.08299,36.22018
720,-82.19646,36.220444
721,-82.30993,36.220707
722,-82.42339,36.22097
723,-82.536865,36.221233
724,-82.65033,36.221497
725,-82.763794,36.22176
726,-82.877266,36.222023
727,-82.99073,36.222286
728,-83.1042,36.22255
729,-83.21767,36.222813
730,-83.33113,36.223076
731,-83.4446,36.22334
732,-83.55807,36.223602
733,-83.67153,36.223866
734,-83.785,36.22413
735,-83.89847,36.224392
736,-84.01194,36.224655
737,-84.125404,36.22492
738,-84.23887,36.22518
739,-84.35234,36.225445
740,-84.465805,36.225708
741,-84.57928,36.22597
742,-84.69274,36.226234
743,-84.806206,36.226498
744,-84.91968,36.22676
745,-85.03314,36.227024
746,-85.14661,36.227287
747,-85.26008,36.22755
748,-85.37354,36.227814
749,-85.487015,36.228077
750,-85.60048,36.22834
751,-85.71394,36.228603
752,-85.827415,36.228867
753,-85.94088,36.22913
754,-86.05435,36.229393
755,-86.167816,36.229656
756,-86.28128,36.22992
757,-86.39475,36.230183
758,-86.50822,36.230446
759,-86.62169,36.23071
760,-86.73515,36.230972
761,-86.84862,36.231236
762,-86.96209,36.2315
763,-87.075554,36.231762
764,-87.18902,36.23202
765,-87.30249,36.232285
766,-87.415955,36.232548
767,-87.52943,36.23281
768,-87.64289,36.233074
769,-87.756355,36.233337
770,-87.86983,36.2336
771,-87.98329,36.233864
772,-88.09676,36.234127
773,-88.21023,36.23439
774,-88.32369,36.234646
775,-88.437164,36.2349
776,-88.55063,36.235157
777,-88.66409,36.235413
778,-88.777565,36.23567
779,-88.89103,36.235924
780,-89.0045,36.23618
781,-89.117966,36.236435
782,-89.23143,36.23669
783,-89.3449,36.236946
784,-89.45837,36.2372
785,-89.57184,36.237457
786,-89.6853,36.237713
787,-89.79877,36.23797
788,-89.91224,36.238224
789,-90.0257,36.23848
790,-90.139175,36.238735
791,-90.25264,36.23899
792,-90.366104,36.239246
793,-90.479576,36.239502
794,-90.59304,36.239754
