,Unnamed: 0,timestep,depth,Salinity,Theta,U,V,W
220,220,220,-33.594128,35.9767,25.99049,0.029423108,0.63982224,0.00012632937
221,221,221,-33.744553,35.977898,25.986082,0.028844226,0.64116174,0.00012540593
222,222,222,-33.89498,35.97909,25.981674,0.028265327,0.64250124,0.00012448247
223,223,223,-34.04541,35.98029,25.977266,0.02768643,0.64384073,0.00012355902
224,224,224,-34.19584,35.981483,25.972857,0.027107531,0.6451802,0.00012263555
225,225,225,-34.346268,35.983128,25.966898,0.026615627,0.64667517,0.000121838784
226,226,226,-34.496693,35.984955,25.960293,0.026159894,0.64823467,0.00012109468
227,227,227,-34.64712,35.986782,25.953688,0.025704145,0.64979416,0.00012035056
228,228,228,-34.79755,35.988613,25.947083,0.025248399,0.65135366,0.00011960643
229,229,229,-34.94798,35.99044,25.94048,0.024792653,0.6529132,0.000118862314
230,230,230,-35.098404,35.992268,25.933874,0.024336915,0.65447265,0.00011811821
231,231,231,-35.248833,35.9941,25.927269,0.023881169,0.6560322,0.00011737408
232,232,232,-35.39926,35.995926,25.920664,0.023425423,0.6575917,0.00011662996
233,233,233,-35.54969,35.997757,25.914059,0.022969674,0.6591512,0.000115885836
234,234,234,-35.700115,35.999584,25.907455,0.022513939,0.6607107,0.00011514173
235,235,235,-35.850544,36.00141,25.90085,0.022058193,0.6622702,0.00011439761
236,236,236,-36.000973,36.003242,25.894245,0.021602444,0.66382974,0.000113653485
237,237,237,-36.1514,36.00507,25.88764,0.021146698,0.66538924,0.00011290936
238,238,238,-36.301826,36.006897,25.881035,0.020690963,0.66694874,0.00011216526
239,239,239,-36.452255,36.008728,25.874432,0.020235214,0.66850823,0.00011142113
240,240,240,-36.602684,36.010555,25.867826,0.019779468,0.6700677,0.00011067701
241,241,241,-36.753113,36.012386,25.861221,0.019323722,0.6716273,0.00010993289
242,242,242,-36.903538,36.014214,25.854616,0.018867984,0.6731867,0.00010918878
243,243,243,-37.053967,36.01604,25.848011,0.018412238,0.6747463,0.000108444656
244,244,244,-37.204395,36.01787,25.841408,0.017956492,0.6763058,0.000107700536
245,245,245,-37.354824,36.0197,25.834803,0.017500743,0.67786527,0.00010695641
246,246,246,-37.50525,36.021526,25.828197,0.017045008,0.67942476,0.000106212305
247,247,247,-37.655678,36.023357,25.821592,0.016589262,0.68098426,0.000105468185
248,248,248,-37.806107,36.025185,25.814987,0.016133513,0.6825438,0.00010472406
249,249,249,-37.956535,36.02701,25.808382,0.015677765,0.6841033,0.00010397994
250,250,250,-38.10696,36.028843,25.801779,0.015222031,0.6856628,0.000103235834
251,251,251,-38.25739,36.03067,25.795174,0.014766283,0.6872223,0.00010249171
252,252,252,-38.407818,36.0325,25.788568,0.014310536,0.6887818,0.00010174759
253,253,253,-38.558247,36.03433,25.781963,0.013854789,0.69034135,0.00010100346
254,254,254,-38.70867,36.036156,25.77536,0.013399053,0.69190085,0.000100259356
255,255,255,-38.8591,36.037987,25.768755,0.012943306,0.69346035,9.951524e-05
256,256,256,-39.00953,36.039814,25.76215,0.012487559,0.69501984,9.877111e-05
257,257,257,-39.159958,36.04164,25.755545,0.012031812,0.6965794,9.802698e-05
258,258,258,-39.310387,36.043472,25.74894,0.011576065,0.6981389,9.7282864e-05
259,259,259,-39.46081,36.0453,25.742336,0.011120329,0.6996984,9.653876e-05
260,260,260,-39.61124,36.047127,25.735731,0.010664582,0.7012579,9.579463e-05
261,261,261,-39.76167,36.048996,25.72885,0.010240903,0.7028339,9.508361e-05
262,262,262,-39.912098,36.05098,25.72111,0.009916708,0.7044609,9.447526e-05
263,263,263,-40.062523,36.052967,25.71337,0.009592518,0.70608795,9.3866925e-05
264,264,264,-40.21295,36.05495,25.705631,0.009268321,0.70771503,9.325858e-05
265,265,265,-40.36338,36.056934,25.697891,0.008944126,0.70934206,9.265023e-05
266,266,266,-40.51381,36.05892,25.690151,0.008619929,0.71096915,9.204188e-05
267,267,267,-40.664234,36.060905,25.682413,0.008295741,0.7125962,9.1433554e-05
268,268,268,-40.814663,36.06289,25.674673,0.007971544,0.71422327,9.0825204e-05
269,269,269,-40.96509,36.064877,25.666933,0.007647347,0.7158503,9.0216854e-05
270,270,270,-41.11552,36.06686,25.659193,0.00732315,0.7174774,8.960851e-05
271,271,271,-41.265945,36.068844,25.651455,0.0069989623,0.7191044,8.9000176e-05
272,272,272,-41.416374,36.07083,25.643715,0.006674765,0.72073144,8.8391826e-05
273,273,273,-41.566803,36.072815,25.635975,0.006350569,0.7223585,8.778348e-05
274,274,274,-41.71723,36.074802,25.628235,0.006026372,0.7239856,8.717513e-05
275,275,275,-41.867657,36.076786,25.620497,0.005702183,0.72561264,8.65668e-05
276,276,276,-42.018085,36.07877,25.612757,0.005377987,0.72723967,8.5958454e-05
277,277,277,-42.168514,36.080757,25.605017,0.00505379,0.72886676,8.5350104e-05
278,278,278,-42.318943,36.08274,25.597279,0.0047295936,0.73049384,8.4741754e-05
279,279,279,-42.469368,36.084724,25.589539,0.004405405,0.7321209,8.4133426e-05
280,280,280,-42.619797,36.08671,25.581799,0.0040812083,0.7337479,8.3525076e-05
281,281,281,-42.770226,36.088696,25.574059,0.0037570116,0.735375,8.2916726e-05
282,282,282,-42.920654,36.09068,25.56632,0.003432815,0.737002,8.230838e-05
283,283,283,-43.07108,36.092667,25.55858,0.0031086267,0.73862904,8.170005e-05
284,284,284,-43.221508,36.09465,25.55084,0.00278443,0.74025613,8.10917e-05
285,285,285,-43.371937,36.096638,25.5431,0.0024602334,0.7418832,8.0483354e-05
286,286,286,-43.522366,36.09862,25.535362,0.0021360368,0.74351025,7.9875004e-05
287,287,287,-43.67279,36.100605,25.527622,0.0018118485,0.7451373,7.926667e-05
288,288,288,-43.82322,36.102592,25.519882,0.0014876518,0.74676436,7.8658326e-05
289,289,289,-43.973648,36.104576,25.512144,0.0011634552,0.74839145,7.8049976e-05
290,290,290,-44.124077,36.10656,25.504404,0.00083925854,0.7500185,7.7441626e-05
291,291,291,-44.274506,36.108547,25.496664,0.0005150619,0.75164557,7.683328e-05
292,292,292,-44.42493,36.11053,25.488924,0.0001908734,0.7532726,7.622495e-05
293,293,293,-44.57536,36.112514,25.481186,-0.00013332325,0.7548996,7.56166e-05
294,294,294,-44.72579,36.114502,25.473446,-0.0004575199,0.7565267,7.5008254e-05
295,295,295,-44.876217,36.116486,25.465706,-0.00078171655,0.7581538,7.4399904e-05
296,296,296,-45.02664,36.118473,25.457968,-0.001105905,0.7597808,7.379157e-05
297,297,297,-45.17707,36.120457,25.450228,-0.0014301017,0.76140785,7.3183226e-05
298,298,298,-45.3275,36.12244,25.442488,-0.0017542983,0.76303494,7.2574876e-05
299,299,299,-45.47793,36.124428,25.434748,-0.002078495,0.764662,7.1966526e-05
300,300,300,-45.628353,36.12641,25.42701,-0.0024026833,0.766289,7.13582e-05
301,301,301,-45.77878,36.128395,25.41927,-0.00272688,0.7679161,7.074985e-05
302,302,302,-45.92921,36.130035,25.411942,-0.0029748902,0.76941437,7.017988e-05
303,303,303,-46.07964,36.131317,25.405039,-0.003144654,0.7707803,6.964933e-05
304,304,304,-46.230064,36.132603,25.398136,-0.003314414,0.7721463,6.9118796e-05
305,305,305,-46.380493,36.133884,25.391232,-0.0034841779,0.7735123,6.858824e-05
306,306,306,-46.530922,36.13517,25.384329,-0.0036539421,0.77487826,6.805769e-05
307,307,307,-46.68135,36.13645,25.377426,-0.003823706,0.7762443,6.7527144e-05
308,308,308,-46.831776,36.137733,25.370522,-0.0039934656,0.77761024,6.699661e-05
309,309,309,-46.982204,36.13902,25.363619,-0.00416323,0.7789762,6.646606e-05
310,310,310,-47.132633,36.1403,25.356714,-0.004332994,0.7803422,6.593551e-05
311,311,311,-47.283062,36.141586,25.349812,-0.004502758,0.7817082,6.540496e-05
312,312,312,-47.433487,36.142868,25.342909,-0.0046725175,0.78307414,6.4874424e-05
313,313,313,-47.583916,36.14415,25.336004,-0.004842282,0.78444016,6.434387e-05
314,314,314,-47.734344,36.145435,25.329102,-0.0050120456,0.7858061,6.381332e-05
315,315,315,-47.884773,36.146717,25.322197,-0.00518181,0.78717214,6.328277e-05
316,316,316,-48.0352,36.148003,25.315294,-0.0053515695,0.7885381,6.275224e-05
317,317,317,-48.185627,36.149284,25.308392,-0.005521334,0.78990406,6.222169e-05
318,318,318,-48.336056,36.150566,25.301487,-0.0056910976,0.7912701,6.1691135e-05
319,319,319,-48.486485,36.15185,25.294584,-0.005860862,0.79263604,6.116059e-05
320,320,320,-48.63691,36.153133,25.287682,-0.0060306215,0.794002,6.063005e-05
321,321,321,-48.78734,36.15442,25.280777,-0.0062003853,0.795368,6.00995e-05
322,322,322,-48.937767,36.1557,25.273874,-0.0063701496,0.796734,5.956895e-05
323,323,323,-49.088196,36.156982,25.26697,-0.006539914,0.7981,5.90384e-05
324,324,324,-49.238625,36.158268,25.260067,-0.0067096776,0.79946595,5.8507852e-05
325,325,325,-49.38905,36.15955,25.253164,-0.0068794377,0.8008319,5.7977315e-05
326,326,326,-49.53948,36.160835,25.24626,-0.0070492015,0.80219793,5.7446763e-05
327,327,327,-49.689907,36.162117,25.239357,-0.0072189653,0.8035639,5.6916215e-05
328,328,328,-49.840336,36.1634,25.232454,-0.0073887296,0.8049299,5.6385667e-05
329,329,329,-49.99076,36.164684,25.22555,-0.007558489,0.8062959,5.585513e-05
330,330,330,-50.14119,36.165966,25.218647,-0.0077282535,0.80766183,5.5324577e-05
